Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,21570,43621,43621,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,107850,203915,172173,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,8/5/2025,8/4/2027,,2426625,2268497,104444,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,8/5/2025,8/4/2027,,150990,26140,25166,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51,51,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,92049,91998,202,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1350049,1687561,0,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,92049,115061,344,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0,0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0,0,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000,0,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291,0,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669,0,DSF0001007786
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,DOES,,DOES,574909,0,DSF0001085733
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,80484,80484,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,210342,205258,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043,629890,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541,93891,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,3/14/2024,7/30/2024,11/18/2024,38009,82056,81650,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,In-Progress,1/7/2025,6/9/2025,,179955,179955,75791,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,3720987,3720987,91429,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,344277,344277,41730,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Scope,Complete,1/3/2025,4/7/2025,5/1/2025,3171,282,282,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Design,In-Progress,5/8/2025,9/8/2025,,12686,12686,1129,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Construction,PNS,PNS,PNS,PNS,182354,182354,0,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,46778,46778,2672,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED IN THE AHERA PERIODIC SURVEAILLANCE AS RESPONSE ACTION DUE TO OBSERV,Construction,In-Progress,8/21/2025,IEH,,IEH,750,0,SCA0000074825
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1719207,1644453,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,193000,0,DSF0001163290
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764,0,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,In-Progress,2/28/2025,DOER,,DOER,3264296,0,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,174000,0,DSF0001112773
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/14/2024,DOES,11/21/2024,DOES,65832,20150,DSF0001084941
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,DOES,,DOES,444473,0,DSF0001085734
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,12222,12222,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,147459,144155,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2388132,2180680,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,703993,623841,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,5/14/2024,9/30/2024,10/31/2024,108090,225361,222072,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,Complete,11/15/2024,4/21/2025,8/5/2025,499581,316122,302364,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,7878911,7878911,66662,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,846463,846463,80834,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2363,2363,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9450,9450,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,204544,169404,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,108658,105957,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION OVER THE AUDITORIUM ENTRY DOORS LOCATED IN THE 1ST FLOOR THE INS,Construction,Complete,7/24/2024,IEH,9/13/2025,IEH,20623,688,SCA0000073170
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ABATE 9X9 FLOOR TILES IN RM 506A THAT ARE BROKEN SPACE ID# 6506A ( FOYER) AS PER AHERA BOOK DAT,Construction,Complete,2/28/2025,IEH,4/16/2025,IEH,28260,19510,SCA0000074007
1,M061,P.S. 361 - MANHATTAN,SCA IEH,"PO18-BASEMENT HALLWAY, 9 L.F. DAMAGED JOINT/PIPE INSULATION ROOM B1 FAN ROOM, 7 L.F. DAMAGED PIPE IN",Construction,In-Progress,4/2/2025,IEH,,IEH,112834,1679,SCA0000074102
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000,0,DSF0001112775
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000,0,DSF0001163538
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000,0,DSF0001086194
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-NEED APPROXIMATELY 8' OF PIPE COVERING ABATED IN THE 2ND FLOOR NON-GENDER RESTROOM DUE TO A LEA,Construction,In-Progress,11/12/2024,IEH,,IEH,976,226,SCA0000073598
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTION DUE TO OBSERVED D,Construction,In-Progress,8/8/2025,IEH,,IEH,750,0,SCA0000074630
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,Complete,11/29/2023,FTK,4/4/2025,FTK,108253,108253,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779,0,DSF0001033635
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000,0,DSF0001112776
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY26 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,450000,0,DSF0001163540
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,6/17/2020,12/4/2020,0,47308,47308,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,12/4/2020,5/24/2021,1/2/2024,178125,184435,125585,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,8/8/2025,1/29/2027,,2612500,2475932,44632,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,8/8/2025,1/29/2027,,178125,33861,33861,"DSF0000913306, DSF0000913307"
1,M064,I.S. 839 - MANHATTAN,SCA IEH,"PO18-24 -  1/2' HOLES, AND 1 -  1.25' CORE DRILLED HOLE THRU WALL",Construction,In-Progress,12/18/2024,IEH,,IEH,645,70,SCA0000073728
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,In-Progress,3/8/2024,DOER,,DOER,168677,0,DSF0001086195
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000,0,DSF0001112777
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,1/7/2021,5/7/2021,6/15/2021,39541,133705,82219,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Design,Complete,7/15/2021,12/16/2021,4/21/2022,186049,199027,151369,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,1/15/2024,1/3/2026,,3178051,2908343,1219080,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,1/15/2024,1/3/2026,,364189,98219,97327,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR/REPLACE DAMAGED AREAS CERAMIC TILES IN ROOM #208B AND FLOOR TILES IN ROOM 209,Construction,In-Progress,8/15/2025,IEH,,IEH,750,0,SCA0000074689
1,M097,BARD COLLEGE HS - MANHATTAN,Fast Track Projects,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,FTK,FTK,FTK,FTK,720000,0,DSF0001112793
1,M097,BARD COLLEGE HS - MANHATTAN,Fast Track Projects,FY18 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/10/2019,FTK,,FTK,54508,54508,DSF0000866416
1,M097,BARD COLLEGE HS - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000,0,DSF0000961304
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,223957,0,DSF0000913084
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,DOMESTIC WATER HEATER,Construction,In-Progress,3/1/2022,DOES,,DOES,90361,376,DSF0000961169
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,8/14/2023,DOES,,DOES,567979,0,DSF0001034279
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/31/2024,DOES,2/20/2025,DOES,65832,32860,DSF0001084945
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/26/2024,DOES,,DOES,207981,0,DSF0001085735
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Scope,Complete,8/4/2021,12/21/2021,2/2/2022,137659,196776,178487,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
1,M110,P.S. 110 - MANHATTAN,SCA CIP,FACADE REMEDIATION @M110 / PARAPETS / ROOFS / FLOOD ELIMINATION,Design,Complete,6/1/2022,11/22/2022,5/12/2023,673898,317830,308188,"DSF0001085128, DSF0001018329, DSF0001018328, DSF0001018326"
